pk_tempo;date_key;invoice_date;invoice_day;invoice_month;invoice_year;quarter
06/10/2017;06/10/2017;08/10/2017;08;10;2017;4
24/12/2018;24/12/2018;26/12/2018;26;12;2018;4
14/03/2017;14/03/2017;16/03/2017;16;03;2017;1
15/03/2017;15/03/2017;17/03/2017;17;03;2017;1
28/09/2018;28/09/2018;30/09/2018;30;09;2018;3
18/03/2019;18/03/2019;21/03/2019;21;03;2019;1
23/03/2017;23/03/2017;25/03/2017;25;03;2017;1
15/09/2018;15/09/2018;17/09/2018;17;09;2018;3
13/07/2018;13/07/2018;15/07/2018;15;07;2018;3
14/05/2018;14/05/2018;16/05/2018;16;05;2018;2
24/09/2018;24/09/2018;26/09/2018;26;09;2018;3
10/03/2017;10/03/2017;12/03/2017;12;03;2017;1
28/11/2017;28/11/2017;30/11/2017;30;11;2017;4
14/12/2017;14/12/2017;16/12/2017;16;12;2017;4
05/04/2018;05/04/2018;07/04/2018;07;04;2018;2
13/06/2017;13/06/2017;15/06/2017;15;06;2017;2
13/11/2017;13/11/2017;15/11/2017;15;11;2017;4
25/05/2017;25/05/2017;27/05/2017;27;05;2017;2
24/08/2018;24/08/2018;26/08/2018;26;08;2018;3
28/12/2018;28/12/2018;30/12/2018;30;12;2018;4
12/08/2018;12/08/2018;14/08/2018;14;08;2018;3
06/01/2018;06/01/2018;08/01/2018;08;01;2018;1
16/11/2018;16/11/2018;18/11/2018;18;11;2018;4
31/05/2017;31/05/2017;02/06/2017;02;06;2017;2
11/03/2019;11/03/2019;14/03/2019;14;03;2019;1
08/07/2018;08/07/2018;10/07/2018;10;07;2018;3
02/02/2018;02/02/2018;04/02/2018;04;02;2018;1
15/01/2019;15/01/2019;17/01/2019;17;01;2019;1
09/05/2017;09/05/2017;11/05/2017;11;05;2017;2
23/01/2018;23/01/2018;25/01/2018;25;01;2018;1
03/07/2017;03/07/2017;05/07/2017;05;07;2017;3
06/02/2018;06/02/2018;08/02/2018;08;02;2018;1
10/03/2019;10/03/2019;13/03/2019;13;03;2019;1
25/06/2018;25/06/2018;27/06/2018;27;06;2018;2
18/08/2017;18/08/2017;20/08/2017;20;08;2017;3
10/12/2018;10/12/2018;12/12/2018;12;12;2018;4
16/12/2018;16/12/2018;18/12/2018;18;12;2018;4
02/03/2019;02/03/2019;05/03/2019;05;03;2019;1
04/05/2018;04/05/2018;06/05/2018;06;05;2018;2
31/05/2018;31/05/2018;02/06/2018;02;06;2018;2
13/09/2017;13/09/2017;15/09/2017;15;09;2017;3
23/02/2019;23/02/2019;25/02/2019;25;02;2019;1
19/10/2018;19/10/2018;21/10/2018;21;10;2018;4
02/09/2018;02/09/2018;04/09/2018;04;09;2018;3
30/11/2017;30/11/2017;02/12/2017;02;12;2017;4
22/06/2018;22/06/2018;24/06/2018;24;06;2018;2
29/01/2017;29/01/2017;01/02/2017;01;02;2017;1
25/03/2018;25/03/2018;27/03/2018;27;03;2018;1
28/02/2017;28/02/2017;02/03/2017;02;03;2017;1
22/08/2017;22/08/2017;24/08/2017;24;08;2017;3
08/09/2018;08/09/2018;10/09/2018;10;09;2018;3
04/10/2018;04/10/2018;06/10/2018;06;10;2018;4
23/02/2018;23/02/2018;25/02/2018;25;02;2018;1
11/01/2019;11/01/2019;13/01/2019;13;01;2019;1
26/02/2019;26/02/2019;28/02/2019;28;02;2019;1
15/12/2018;15/12/2018;17/12/2018;17;12;2018;4
25/10/2017;25/10/2017;27/10/2017;27;10;2017;4
18/02/2018;18/02/2018;20/02/2018;20;02;2018;1
09/02/2017;09/02/2017;12/02/2017;12;02;2017;1
02/11/2017;02/11/2017;04/11/2017;04;11;2017;4
01/07/2017;01/07/2017;03/07/2017;03;07;2017;3
03/03/2018;03/03/2018;05/03/2018;05;03;2018;1
08/06/2017;08/06/2017;10/06/2017;10;06;2017;2
17/03/2017;17/03/2017;19/03/2017;19;03;2017;1
26/08/2018;26/08/2018;28/08/2018;28;08;2018;3
28/06/2017;28/06/2017;30/06/2017;30;06;2017;2
29/04/2018;29/04/2018;01/05/2018;01;05;2018;2
25/01/2017;25/01/2017;28/01/2017;28;01;2017;1
21/08/2017;21/08/2017;23/08/2017;23;08;2017;3
16/03/2019;16/03/2019;19/03/2019;19;03;2019;1
02/11/2018;02/11/2018;04/11/2018;04;11;2018;4
17/06/2018;17/06/2018;19/06/2018;19;06;2018;2
04/03/2018;04/03/2018;06/03/2018;06;03;2018;1
15/02/2017;15/02/2017;18/02/2017;18;02;2017;1
26/01/2017;26/01/2017;29/01/2017;29;01;2017;1
20/07/2018;20/07/2018;22/07/2018;22;07;2018;3
19/01/2017;19/01/2017;22/01/2017;22;01;2017;1
23/06/2018;23/06/2018;25/06/2018;25;06;2018;2
08/09/2017;08/09/2017;10/09/2017;10;09;2017;3
29/10/2018;29/10/2018;31/10/2018;31;10;2018;4
02/06/2017;02/06/2017;04/06/2017;04;06;2017;2
22/09/2018;22/09/2018;24/09/2018;24;09;2018;3
01/03/2019;01/03/2019;04/03/2019;04;03;2019;1
26/04/2018;26/04/2018;28/04/2018;28;04;2018;2
20/01/2019;20/01/2019;22/01/2019;22;01;2019;1
26/05/2018;26/05/2018;28/05/2018;28;05;2018;2
20/04/2018;20/04/2018;22/04/2018;22;04;2018;2
07/02/2017;07/02/2017;10/02/2017;10;02;2017;1
10/01/2017;10/01/2017;13/01/2017;13;01;2017;1
27/12/2018;27/12/2018;29/12/2018;29;12;2018;4
02/05/2017;02/05/2017;04/05/2017;04;05;2017;2
10/06/2018;10/06/2018;12/06/2018;12;06;2018;2
03/11/2018;03/11/2018;05/11/2018;05;11;2018;4
07/01/2019;07/01/2019;09/01/2019;09;01;2019;1
